deployment_id,deployment_name,version,environment,status,cpu_usage,memory_usage,latency,build_duration,deployment_duration,error_count,healthy
1,Argue-Service,1.5.2,QA,Running,51.03,28.6,199.66,135.8,174.67,5,0
2,Teacher-Service,1.8.7,DEV,Running,91.56,41.46,322.71,74.2,148.47,4,0
3,Single-Service,1.9.2,QA,Running,37.12,63.93,187.98,299.63,139.3,2,0
4,Yeah-Service,1.7.8,UAT,Failed,72.39,83.34,264.02,75.82,123.08,1,0
5,Account-Service,1.1.6,DEV,Running,84.26,60.15,34.11,138.08,57.4,1,0
6,Forward-Service,1.6.5,DEV,Success,42.96,81.16,230.06,83.26,287.57,4,0
7,Him-Service,1.8.2,UAT,Running,25.9,37.55,43.66,224.29,336.61,1,0
8,Medical-Service,1.5.2,UAT,Success,27.55,75.95,199.67,256.14,285.97,0,1
9,Benefit-Service,1.2.3,PROD,Failed,20.49,87.57,108.15,90.78,324.78,5,0
10,Debate-Service,1.0.7,UAT,Failed,57.02,93.25,220.01,31.23,117.57,3,0
11,Financial-Service,1.2.3,PROD,Failed,81.51,90.5,388.79,181.25,127.72,3,0
12,Stay-Service,1.5.8,PROD,Success,32.02,99.97,345.86,63.32,87.44,1,0
13,Sure-Service,1.6.9,QA,Running,35.48,37.48,315.79,97.58,333.9,5,0
14,Pretty-Service,1.6.9,PROD,Success,70.91,86.43,199.44,43.54,191.47,5,0
15,Garden-Service,1.6.5,PROD,Failed,88.26,36.79,192.24,254.81,337.14,5,0
16,Marriage-Service,1.4.5,UAT,Failed,61.26,86.57,74.03,244.99,233.97,2,0
17,Student-Service,1.8.3,QA,Running,21.1,95.36,177.59,78.15,128.73,0,0
18,National-Service,1.6.4,DEV,Running,78.01,66.29,225.73,249.26,234.57,5,0
19,Free-Service,1.3.9,QA,Running,83.79,48.34,231.43,180.47,92.49,5,0
20,For-Service,1.3.5,PROD,Success,44.07,49.73,51.43,98.85,136.86,4,0
21,Artist-Service,1.0.0,PROD,Running,85.17,90.48,36.11,111.3,112.02,1,0
22,Specific-Service,1.7.0,QA,Running,72.93,44.55,43.98,59.68,219.11,2,0
23,Exist-Service,1.5.8,QA,Failed,47.44,90.07,185.7,121.97,291.3,3,0
24,Board-Service,1.5.0,PROD,Failed,52.91,75.31,386.08,85.42,241.2,2,0
25,Among-Service,1.2.2,PROD,Running,65.11,26.16,68.52,30.42,191.83,4,0
26,Spring-Service,1.2.4,DEV,Failed,62.72,53.34,167.53,268.26,330.49,3,0
27,Box-Service,1.2.8,UAT,Running,97.92,55.13,295.53,197.99,331.87,0,0
28,Wear-Service,1.2.5,QA,Success,24.04,84.85,87.94,264.31,287.54,1,0
29,Here-Service,1.1.7,UAT,Running,99.81,45.22,30.57,142.96,182.1,5,0
30,Provide-Service,1.0.8,QA,Failed,60.25,75.83,294.54,263.26,320.48,4,0
31,Whose-Service,1.7.3,UAT,Failed,88.11,93.6,201.56,298.55,51.66,4,0
32,Identify-Service,1.2.6,DEV,Failed,93.46,68.6,54.14,140.22,289.08,3,0
33,Nearly-Service,1.2.9,DEV,Success,29.77,58.95,261.78,112.9,299.32,3,0
34,Degree-Service,1.3.2,UAT,Running,55.78,68.86,143.11,262.17,83.48,5,0
35,Subject-Service,1.2.1,UAT,Success,93.26,39.53,28.07,204.67,268.13,3,0
36,Arrive-Service,1.9.7,UAT,Running,31.48,29.77,206.74,75.68,343.63,4,0
37,If-Service,1.4.5,DEV,Failed,51.59,43.31,312.73,75.69,216.97,2,0
38,Manage-Service,1.3.8,QA,Running,87.59,27.39,310.14,82.25,339.64,3,0
39,Team-Service,1.2.6,DEV,Success,97.36,88.01,236.5,55.12,191.12,3,0
40,Focus-Service,1.4.7,DEV,Running,22.15,66.34,330.13,254.13,184.06,2,0
41,For-Service,1.3.3,DEV,Failed,20.93,52.46,371.69,176.91,188.79,3,0
42,Natural-Service,1.9.7,PROD,Failed,90.5,88.73,224.7,290.43,270.13,4,0
43,Question-Service,1.2.9,PROD,Failed,67.37,68.17,252.02,299.23,63.83,4,0
44,Buy-Service,1.5.7,QA,Success,86.09,98.9,72.3,231.91,174.35,2,0
45,Several-Service,1.2.4,QA,Failed,41.37,24.75,191.48,278.84,53.97,2,0
46,At-Service,1.4.6,QA,Success,64.46,30.4,83.99,149.79,141.55,0,1
47,South-Service,1.4.2,PROD,Success,90.32,58.09,322.79,298.07,59.19,4,0
48,Student-Service,1.7.1,PROD,Failed,47.96,32.33,371.12,147.31,51.99,4,0
49,How-Service,1.7.6,QA,Running,40.26,49.43,366.1,72.44,174.88,4,0
50,Without-Service,1.9.2,PROD,Running,56.47,94.52,236.66,211.18,131.17,0,0
51,Run-Service,1.4.4,UAT,Failed,77.96,34.49,192.24,68.96,257.84,3,0
52,Argue-Service,1.5.6,UAT,Failed,84.91,44.51,324.99,36.01,89.69,1,0
53,Soon-Service,1.2.1,UAT,Running,94.62,70.92,295.34,117.6,162.06,0,0
54,Community-Service,1.1.1,PROD,Running,69.35,99.77,292.95,253.48,140.84,0,0
55,Everybody-Service,1.5.6,QA,Success,39.23,29.12,255.58,44.15,157.83,0,0
56,Win-Service,1.7.7,PROD,Failed,39.58,99.85,340.85,103.08,304.23,2,0
57,Yet-Service,1.1.0,QA,Failed,40.41,28.14,354.33,239.01,302.48,3,0
58,Represent-Service,1.7.5,QA,Running,32.65,83.82,254.6,285.01,159.98,2,0
59,Across-Service,1.9.4,DEV,Success,36.84,29.97,193.8,247.37,73.7,0,1
60,Country-Service,1.8.5,QA,Running,45.53,35.45,214.5,163.98,116.16,3,0
61,Option-Service,1.0.3,PROD,Success,71.75,65.97,94.41,167.47,206.49,0,1
62,Fast-Service,1.1.7,DEV,Failed,76.49,27.1,330.48,292.31,274.56,3,0
63,Relate-Service,1.8.4,DEV,Running,69.25,67.07,226.73,203.6,249.18,3,0
64,Mother-Service,1.6.4,PROD,Failed,43.38,66.61,231.83,163.51,102.56,4,0
65,Large-Service,1.7.9,UAT,Running,91.7,55.74,202.9,75.02,70.71,0,0
66,Science-Service,1.8.4,UAT,Success,64.18,61.89,51.54,95.59,321.32,5,0
67,Box-Service,1.4.0,UAT,Running,70.41,43.22,200.12,168.14,337.93,2,0
68,Research-Service,1.8.4,DEV,Success,80.83,22.8,161.67,75.0,46.04,1,0
69,Case-Service,1.5.7,PROD,Success,54.69,71.68,273.74,272.94,54.22,0,0
70,Huge-Service,1.8.2,PROD,Failed,50.14,90.85,172.88,160.51,314.55,5,0
71,Everybody-Service,1.9.0,DEV,Success,26.42,46.27,29.21,248.11,177.92,2,0
72,Society-Service,1.0.2,DEV,Success,49.88,83.8,139.6,142.4,156.35,5,0
73,Analysis-Service,1.3.5,UAT,Running,98.84,52.8,355.68,141.91,348.6,1,0
74,Democrat-Service,1.9.0,UAT,Success,80.87,95.45,282.09,113.76,250.47,3,0
75,Husband-Service,1.6.8,QA,Failed,91.16,65.6,62.53,225.68,42.16,0,0
76,You-Service,1.6.7,DEV,Success,21.28,21.97,340.75,211.39,44.42,1,0
77,Official-Service,1.6.9,DEV,Success,66.62,66.69,297.67,134.69,335.77,5,0
78,Wonder-Service,1.3.8,QA,Running,36.09,37.51,94.2,120.19,303.59,5,0
79,Design-Service,1.7.6,PROD,Running,87.71,67.9,344.3,57.84,201.96,1,0
80,Wind-Service,1.4.7,UAT,Success,89.72,24.89,33.02,288.07,285.6,3,0
81,Note-Service,1.2.9,QA,Running,92.06,75.1,154.28,111.34,321.53,2,0
82,Simply-Service,1.6.5,PROD,Failed,23.03,66.23,82.52,110.84,44.62,2,0
83,Hair-Service,1.0.6,UAT,Running,56.82,99.96,204.9,46.01,146.09,0,0
84,Morning-Service,1.7.6,UAT,Success,58.45,22.86,328.8,139.69,140.29,3,0
85,He-Service,1.1.3,QA,Success,24.23,95.28,394.84,271.29,216.05,5,0
86,Pretty-Service,1.2.1,QA,Failed,40.86,60.02,289.56,78.81,266.02,3,0
87,Clear-Service,1.2.4,PROD,Success,50.89,25.03,241.76,62.21,74.53,5,0
88,Election-Service,1.2.9,UAT,Running,59.86,51.69,152.63,162.01,195.58,0,1
89,Easy-Service,1.6.2,PROD,Running,39.11,34.86,147.74,276.15,92.28,0,1
90,Oil-Service,1.7.1,DEV,Success,38.94,73.82,358.3,81.46,288.05,5,0
91,Share-Service,1.3.0,DEV,Success,65.77,58.75,253.56,276.34,115.6,0,0
92,Budget-Service,1.1.0,QA,Success,71.96,63.01,58.12,135.6,217.38,2,0
93,Lose-Service,1.6.2,DEV,Success,39.65,69.48,132.69,263.7,326.34,2,0
94,Network-Service,1.9.1,DEV,Success,64.32,49.61,74.68,232.36,106.64,3,0
95,Lead-Service,1.6.4,PROD,Success,29.16,88.43,198.15,166.58,197.17,5,0
96,Day-Service,1.0.2,QA,Failed,26.84,47.43,52.98,93.95,98.74,4,0
97,How-Service,1.6.8,QA,Failed,91.29,45.34,377.42,217.04,349.5,0,0
98,Each-Service,1.3.5,DEV,Success,24.4,93.65,171.46,237.49,53.54,2,0
99,Wind-Service,1.7.4,UAT,Success,93.45,60.37,367.02,83.61,276.54,2,0
100,Hard-Service,1.2.1,QA,Success,31.12,20.74,313.79,153.9,269.92,1,0
101,Start-Service,1.1.4,UAT,Success,38.18,35.08,100.19,59.76,215.52,3,0
102,Energy-Service,1.8.4,QA,Success,95.7,96.4,347.06,128.3,267.27,5,0
103,Offer-Service,1.0.2,PROD,Failed,48.27,60.92,145.12,215.33,150.41,2,0
104,By-Service,1.9.8,QA,Failed,34.58,94.95,70.64,108.8,285.03,0,0
105,Sing-Service,1.1.5,DEV,Success,66.93,47.48,273.84,145.99,42.14,2,0
106,Tree-Service,1.9.9,QA,Failed,20.72,89.89,125.76,66.02,282.17,4,0
107,Former-Service,1.5.5,PROD,Running,70.48,40.52,159.78,103.98,117.44,3,0
108,Arm-Service,1.2.8,QA,Running,95.89,79.96,148.42,38.87,290.24,3,0
109,Who-Service,1.6.6,QA,Running,73.84,56.28,64.18,176.2,322.51,1,0
110,War-Service,1.3.6,UAT,Failed,30.56,76.6,125.42,40.6,51.39,0,1
111,Share-Service,1.9.6,UAT,Success,33.55,96.89,230.85,250.92,166.14,2,0
112,Far-Service,1.6.4,DEV,Failed,54.91,93.93,369.05,202.68,121.28,4,0
113,Understand-Service,1.8.7,UAT,Failed,85.28,81.68,189.81,244.46,330.83,3,0
